queue_id,customer_id,trigger_reason,priority_score,canonical_name,canonical_email,canonical_phone,relationship_tier
OUT-00035,CUST-00457,"Return window closes in 2 day(s) — Bootcut (29, Stone Wash)",84.0,Elizabeth Hodge,andrearivera@yahoo.com,(500) 233-5503,regular
OUT-00036,CUST-00019,"Return window closes in 2 day(s) — Wide Leg (30, White)",84.0,Daniel Graham,jeffrey21@hotmail.com,,regular
OUT-00037,CUST-00119,"Return window closes in 4 day(s) — Chore Jacket (XL, Raw Denim)",78.0,Daniel Johnson,joel28@gmail.com,(384) 309-2578,VIP
OUT-00038,CUST-00275,"Return window closes in 4 day(s) — Bootcut (24, Black)",78.0,Samuel Holmes,mathewaguilar@gmail.com,(581) 654-2259,VIP
OUT-00039,CUST-00310,"Return window closes in 3 day(s) — Cropped Straight (25, Indigo)",76.0,Emily Evans,cjackson@yahoo.com,,regular
OUT-00040,CUST-00177,"Return window closes in 3 day(s) — Denim Skirt (M, Raw Denim)",76.0,Sandra Romero,jeffrey42@yahoo.com,,regular
OUT-00041,CUST-00187,"Return window closes in 3 day(s) — Cropped Straight (29, Black)",76.0,Alicia Bryant,shawn75@hotmail.com,,regular
OUT-00042,CUST-00112,"Return window closes in 3 day(s) — Slim Straight (27, Black)",76.0,Kathleen Gray,desireebailey@gmail.com,,new
OUT-00043,CUST-00031,"Return window closes in 4 day(s) — Chore Jacket (L, Raw Denim)",68.0,David Walker,collinsnicholas@yahoo.com,(456) 316-1424,regular
OUT-00044,CUST-00303,"Return window closes in 4 day(s) — Straight (27, Stone Wash)",68.0,Eric Yu,baldwinsherry@gmail.com,(710) 223-2475,regular
OUT-00045,CUST-00141,"Return window closes in 4 day(s) — Slim Straight (28, Indigo)",68.0,Taylor Alexander,michaelpugh@yahoo.com,,regular
OUT-00046,CUST-00071,"Return window closes in 4 day(s) — Denim Shirt (XS, Black)",68.0,Jeffrey Velasquez,tjimenez@yahoo.com,,new
OUT-00047,CUST-00281,"VIP customer, dormant 134 days",67.3,John Caldwell,stanleynancy@hotmail.com,,VIP
OUT-00048,CUST-00221,"VIP customer, dormant 117 days",64.5,Donald Shah,derekcarrillo@gmail.com,,VIP
OUT-00049,CUST-00347,"VIP customer, dormant 105 days",62.5,Lee Charles,laura09@yahoo.com,,VIP
OUT-00050,CUST-00424,"VIP customer, dormant 98 days",61.3,James Perez,thickman@gmail.com,(587) 275-8357,VIP
OUT-00051,CUST-00208,"Return window closes in 5 day(s) — Flare (25, White)",60.0,Donna Massey,wiseanthony@yahoo.com,(573) 592-3458,regular
OUT-00052,CUST-00075,"Return window closes in 5 day(s) — Cropped Straight (29, Black)",60.0,Sydney Baker,theresalong@yahoo.com,,regular
OUT-00053,CUST-00038,"Return window closes in 5 day(s) — Trucker Jacket (S, Stone Wash)",60.0,Andrea Williams,ihorton@hotmail.com,,new
OUT-00054,CUST-00110,"Return window closes in 5 day(s) — Trucker Jacket (M, Raw Denim)",60.0,Derek Murray,katiegood@hotmail.com,,regular
OUT-00055,CUST-00114,"Return window closes in 5 day(s) — Denim Skirt (XL, Indigo)",60.0,Debra Harrington,opatel@gmail.com,,regular
