customer_id,canonical_name,canonical_email,canonical_phone,record_count,resolution_tier,linked_source_records
CUST-00015,Anna Baker,reeddaniel@hotmail.com,,3,tier2,POS-00043:tier1:conf=1.00:via=ECOM-00015;POS-00044:tier2:conf=1.00:via=POS-00043;ECOM-00015:tier1:conf=1.00:via=POS-00043
CUST-00016,Chris Williams,ythompson@hotmail.com,,1,single_record,ECOM-00016:anchor
CUST-00017,Bryan James,tberry@hotmail.com,(245) 850-7338,3,tier2,POS-00052:tier1:conf=1.00:via=ECOM-00017;POS-00053:tier2:conf=1.00:via=POS-00052;ECOM-00017:tier1:conf=1.00:via=POS-00052
CUST-00018,Joseph Davidson,zwarren@yahoo.com,,1,single_record,ECOM-00018:anchor
CUST-00019,Daniel Graham,jeffrey21@hotmail.com,,2,tier1,POS-00058:tier1:conf=1.00:via=ECOM-00019;ECOM-00019:tier1:conf=1.00:via=POS-00058
CUST-00020,Vincent White,jessica23@gmail.com,(757) 684-5150,2,tier1,POS-00061:tier1:conf=1.00:via=ECOM-00020;ECOM-00020:tier1:conf=1.00:via=POS-00061
CUST-00021,Chelsea Hernandez,wwebster@hotmail.com,(648) 609-8204,2,tier1,POS-00065:tier1:conf=1.00:via=ECOM-00021;ECOM-00021:tier1:conf=1.00:via=POS-00065
CUST-00022,Kimberly Moreno,kmaldonado@hotmail.com,(732) 473-2353,2,tier2,POS-00067:tier2:conf=1.00:via=ECOM-00022;ECOM-00022:tier2:conf=1.00:via=POS-00067
CUST-00023,Natalie Arroyo,xjohnson@yahoo.com,,2,tier2,POS-00072:tier2:conf=1.00:via=ECOM-00023;ECOM-00023:tier2:conf=1.00:via=POS-00072
CUST-00024,Chad Hodges,marcalvarez@gmail.com,,1,single_record,ECOM-00024:anchor
CUST-00025,Katie Anderson,hayeslisa@yahoo.com,,1,single_record,ECOM-00025:anchor
CUST-00026,Joseph Brennan,hritter@hotmail.com,,1,single_record,ECOM-00026:anchor
CUST-00027,Rodney Lewis,,(861) 575-6933,2,tier2,POS-00076:tier2:conf=1.00:via=ECOM-00027;ECOM-00027:tier2:conf=1.00:via=POS-00076
CUST-00028,Amber Blair,rschroeder@hotmail.com,,2,tier1,POS-00077:tier1:conf=1.00:via=ECOM-00028;ECOM-00028:tier1:conf=1.00:via=POS-00077
CUST-00029,James Collins,mccormickdeborah@gmail.com,,1,single_record,ECOM-00029:anchor
CUST-00030,Wanda Santos,cody64@yahoo.com,,1,single_record,ECOM-00030:anchor
CUST-00031,David Walker,collinsnicholas@yahoo.com,(456) 316-1424,2,tier1,POS-00080:tier1:conf=1.00:via=ECOM-00031;ECOM-00031:tier1:conf=1.00:via=POS-00080
CUST-00032,Michele Jones,ericphillips@gmail.com,,1,single_record,ECOM-00032:anchor
CUST-00033,Jason Anderson,carlamoore@gmail.com,(362) 928-3852,2,tier1,POS-00088:tier1:conf=1.00:via=ECOM-00033;ECOM-00033:tier1:conf=1.00:via=POS-00088
CUST-00034,Selena Duncan,jenniferwilliams@yahoo.com,,1,single_record,ECOM-00034:anchor
CUST-00035,Thomas Mueller,tarabishop@hotmail.com,,2,tier1,POS-00089:tier1:conf=1.00:via=ECOM-00035;ECOM-00035:tier1:conf=1.00:via=POS-00089
CUST-00036,Collin Jordan,mmckee@yahoo.com,,1,single_record,ECOM-00036:anchor
CUST-00037,Scott Callahan,brooksanthony@gmail.com,,1,single_record,ECOM-00037:anchor
CUST-00038,Andrea Williams,ihorton@hotmail.com,,1,single_record,ECOM-00038:anchor
CUST-00039,Melinda Martin,srodriguez@gmail.com,,2,tier1,POS-00105:tier1:conf=1.00:via=ECOM-00039;ECOM-00039:tier1:conf=1.00:via=POS-00105
CUST-00040,Richard Brown,david36@hotmail.com,,2,tier1,POS-00107:tier1:conf=1.00:via=ECOM-00040;ECOM-00040:tier1:conf=1.00:via=POS-00107
CUST-00041,Joseph Bowers,chenbailey@hotmail.com,,3,tier2,POS-00109:tier1:conf=1.00:via=ECOM-00041;POS-00110:tier2:conf=1.00:via=POS-00109;ECOM-00041:tier1:conf=1.00:via=POS-00109
CUST-00042,Susan Cowan,millsmichael@hotmail.com,(616) 504-8430,2,tier2,POS-00112:tier2:conf=0.94:via=ECOM-00042;ECOM-00042:tier2:conf=0.94:via=POS-00112
CUST-00043,Eric Phillips,,(822) 347-6121,2,tier2,POS-00114:tier2:conf=1.00:via=ECOM-00043;ECOM-00043:tier2:conf=1.00:via=POS-00114
CUST-00044,Amy Adkins,,(252) 497-7293,2,tier2,POS-00118:tier2:conf=1.00:via=ECOM-00044;ECOM-00044:tier2:conf=1.00:via=POS-00118
CUST-00045,Eric Yu,james30@yahoo.com,,1,single_record,ECOM-00045:anchor
CUST-00046,Christopher Lopez,zachary87@yahoo.com,,1,single_record,ECOM-00046:anchor
CUST-00047,Brooke Leonard,mullinsjames@yahoo.com,,1,single_record,ECOM-00047:anchor
CUST-00048,James Moran,amymorris@gmail.com,,1,single_record,ECOM-00048:anchor
CUST-00049,Leslie Walton,wwilliams@hotmail.com,,1,single_record,ECOM-00049:anchor
CUST-00050,Charles Ellis,yhill@gmail.com,,2,tier1,POS-00130:tier1:conf=1.00:via=ECOM-00050;ECOM-00050:tier1:conf=1.00:via=POS-00130
CUST-00051,Joseph Mahoney,ejohnson@gmail.com,,2,tier1,POS-00134:tier1:conf=1.00:via=ECOM-00051;ECOM-00051:tier1:conf=1.00:via=POS-00134
CUST-00052,Nicole Suarez,michael90@hotmail.com,(686) 731-8487,2,tier2,POS-00135:tier2:conf=1.00:via=ECOM-00052;ECOM-00052:tier2:conf=1.00:via=POS-00135
CUST-00053,Cheryl Archer,fitzgeraldvictor@yahoo.com,,1,single_record,ECOM-00053:anchor
CUST-00054,Dennis Wilson,rachelwallace@gmail.com,(890) 312-7824,2,tier1,POS-00141:tier1:conf=1.00:via=ECOM-00054;ECOM-00054:tier1:conf=1.00:via=POS-00141
CUST-00055,Daniel Tran,elizabeth18@hotmail.com,(943) 904-1436,2,tier2,POS-00142:tier2:conf=0.94:via=ECOM-00055;ECOM-00055:tier2:conf=0.94:via=POS-00142
CUST-00056,Joseph Jacobs,davidharris@gmail.com,,1,single_record,ECOM-00056:anchor
CUST-00057,Cynthia Baker,tanner82@hotmail.com,,1,single_record,ECOM-00057:anchor
CUST-00058,Dana Green,howens@yahoo.com,,1,single_record,ECOM-00058:anchor
CUST-00059,Joyce Arnold,nataliedeleon@hotmail.com,(908) 408-7723,2,tier1,POS-00148:tier1:conf=1.00:via=ECOM-00059;ECOM-00059:tier1:conf=1.00:via=POS-00148
CUST-00060,Charles Ware,guerraapril@yahoo.com,,1,single_record,ECOM-00060:anchor
CUST-00061,Earl Anderson,brittanycarpenter@gmail.com,,1,single_record,ECOM-00061:anchor
CUST-00062,Kyle Nolan,,(506) 430-5876,2,tier2,POS-00154:tier2:conf=1.00:via=ECOM-00062;ECOM-00062:tier2:conf=1.00:via=POS-00154
CUST-00063,Laura Valencia,,(922) 700-6194,2,tier2,POS-00155:tier2:conf=1.00:via=ECOM-00063;ECOM-00063:tier2:conf=1.00:via=POS-00155
CUST-00064,Rachel Clark,debra96@hotmail.com,,1,single_record,ECOM-00064:anchor
CUST-00065,John Garcia,jimenezcourtney@yahoo.com,(939) 480-5715,2,tier2,POS-00156:tier2:conf=1.00:via=ECOM-00065;ECOM-00065:tier2:conf=1.00:via=POS-00156
CUST-00066,Richard Oliver,vmarshall@hotmail.com,,1,single_record,ECOM-00066:anchor
CUST-00067,Angel Doyle,,(959) 800-4920,2,tier2,POS-00161:tier2:conf=1.00:via=ECOM-00067;ECOM-00067:tier2:conf=1.00:via=POS-00161
CUST-00068,Martin Galvan,floressteven@yahoo.com,,2,tier1,POS-00162:tier1:conf=1.00:via=ECOM-00068;ECOM-00068:tier1:conf=1.00:via=POS-00162
CUST-00069,Leah Shields,gwright@gmail.com,(341) 205-3587,3,tier2,POS-00163:tier1:conf=1.00:via=POS-00164;POS-00164:tier1:conf=1.00:via=POS-00163;ECOM-00069:tier2:conf=1.00:via=POS-00164
CUST-00070,Lisa Adams,lisapeck@hotmail.com,,2,tier1,POS-00165:tier1:conf=1.00:via=ECOM-00070;ECOM-00070:tier1:conf=1.00:via=POS-00165
CUST-00071,Jeffrey Velasquez,tjimenez@yahoo.com,,2,tier1,POS-00168:tier1:conf=1.00:via=ECOM-00071;ECOM-00071:tier1:conf=1.00:via=POS-00168
CUST-00072,Steven Torres,jasongomez@gmail.com,(607) 707-4052,2,tier2,POS-00170:tier2:conf=1.00:via=ECOM-00072;ECOM-00072:tier2:conf=1.00:via=POS-00170
CUST-00073,Mark Lin,booneryan@yahoo.com,,1,single_record,ECOM-00073:anchor
CUST-00074,Sheila Wilson,hudsonjames@hotmail.com,,1,single_record,ECOM-00074:anchor
CUST-00075,Sydney Baker,theresalong@yahoo.com,,2,tier1,POS-00179:tier1:conf=1.00:via=ECOM-00075;ECOM-00075:tier1:conf=1.00:via=POS-00179
CUST-00076,Daniel Hamilton,kari39@hotmail.com,,1,single_record,ECOM-00076:anchor
CUST-00077,Jonathan Fletcher,sarah52@yahoo.com,,1,single_record,ECOM-00077:anchor
CUST-00078,Aaron Frost,brittney88@hotmail.com,,1,single_record,ECOM-00078:anchor
CUST-00079,Michael Jones,richardsonemily@yahoo.com,,1,single_record,ECOM-00079:anchor
CUST-00080,Jennifer Evans,tammy99@gmail.com,,2,tier1,POS-00187:tier1:conf=1.00:via=ECOM-00080;ECOM-00080:tier1:conf=1.00:via=POS-00187
CUST-00081,Kyle Ortiz,rhernandez@gmail.com,,1,single_record,ECOM-00081:anchor
CUST-00082,Richard Phillips,armstrongjackie@gmail.com,(976) 750-4578,2,tier1,POS-00189:tier1:conf=1.00:via=ECOM-00082;ECOM-00082:tier1:conf=1.00:via=POS-00189
CUST-00083,David Fisher,alexanderrobert@yahoo.com,,1,single_record,ECOM-00083:anchor
CUST-00084,Diana Marshall,sue78@yahoo.com,,1,single_record,ECOM-00084:anchor
CUST-00085,Laura Jackson,hannahburns@yahoo.com,(606) 460-1049,2,tier2,POS-00198:tier2:conf=1.00:via=ECOM-00085;ECOM-00085:tier2:conf=1.00:via=POS-00198
CUST-00086,Christopher Robertson,zhuang@yahoo.com,,1,single_record,ECOM-00086:anchor
CUST-00087,Loretta Potter,kellyroberts@hotmail.com,,1,single_record,ECOM-00087:anchor
CUST-00088,Robert Soto,xgarcia@gmail.com,(506) 674-9920,3,tier2,POS-00206:tier1:conf=1.00:via=ECOM-00088;POS-00207:tier2:conf=1.00:via=POS-00206;ECOM-00088:tier1:conf=1.00:via=POS-00206
CUST-00089,James Horton,oconnelltiffany@gmail.com,(436) 453-8546,2,tier1,POS-00208:tier1:conf=1.00:via=ECOM-00089;ECOM-00089:tier1:conf=1.00:via=POS-00208
CUST-00090,Troy Sanchez,edelgado@yahoo.com,,1,single_record,ECOM-00090:anchor
CUST-00091,Diana Smith,,(943) 983-2848,2,tier2,POS-00209:tier2:conf=1.00:via=ECOM-00091;ECOM-00091:tier2:conf=1.00:via=POS-00209
CUST-00092,Karen Carrillo,velezchristopher@hotmail.com,,1,single_record,ECOM-00092:anchor
CUST-00093,Daniel Coleman,amandasharp@gmail.com,(830) 984-1256,2,tier1,POS-00210:tier1:conf=1.00:via=ECOM-00093;ECOM-00093:tier1:conf=1.00:via=POS-00210
CUST-00094,April Williams,robertmonroe@gmail.com,,1,single_record,ECOM-00094:anchor
CUST-00095,John Charles,lfrench@hotmail.com,,1,single_record,ECOM-00095:anchor
CUST-00096,Caitlin Dodson,ismall@hotmail.com,,1,single_record,ECOM-00096:anchor
CUST-00097,Jennifer Wagner,,(950) 789-6224,3,tier2,POS-00215:tier2:conf=0.94:via=POS-00216;POS-00216:tier2:conf=1.00:via=ECOM-00097;ECOM-00097:tier2:conf=1.00:via=POS-00216
CUST-00098,Phyllis Manning,gregorychase@yahoo.com,,1,single_record,ECOM-00098:anchor
CUST-00099,John Walsh,lopezdonald@yahoo.com,(249) 552-7244,2,tier1,POS-00219:tier1:conf=1.00:via=ECOM-00099;ECOM-00099:tier1:conf=1.00:via=POS-00219
CUST-00100,Courtney Hill,adamreyes@yahoo.com,,1,single_record,ECOM-00100:anchor
CUST-00101,Chris Mitchell,stephanie49@hotmail.com,,1,single_record,ECOM-00101:anchor
CUST-00102,Joseph Flores,greenmichael@gmail.com,,1,single_record,ECOM-00102:anchor
CUST-00103,Jesse Benson,tparks@yahoo.com,,1,single_record,ECOM-00103:anchor
CUST-00104,Rick Daniels,fowlershelia@yahoo.com,(627) 770-9683,2,tier1,POS-00223:tier1:conf=1.00:via=ECOM-00104;ECOM-00104:tier1:conf=1.00:via=POS-00223
CUST-00105,Robert Stein,jeffreyanderson@gmail.com,,1,single_record,ECOM-00105:anchor
CUST-00106,Omar Smith,kathleenbecker@hotmail.com,,1,single_record,ECOM-00106:anchor
CUST-00107,Matthew Shelton,hansenemily@yahoo.com,,1,single_record,ECOM-00107:anchor
CUST-00108,Phillip Elliott,weaverbrian@gmail.com,,1,single_record,ECOM-00108:anchor
CUST-00109,Anthony Day,ajohnson@gmail.com,,1,single_record,ECOM-00109:anchor
CUST-00110,Derek Murray,katiegood@hotmail.com,,1,single_record,ECOM-00110:anchor
CUST-00111,Brent Gray,ybrooks@yahoo.com,,1,single_record,ECOM-00111:anchor
CUST-00112,Kathleen Gray,desireebailey@gmail.com,,1,single_record,ECOM-00112:anchor
CUST-00113,Karen Decker,urice@gmail.com,,1,single_record,ECOM-00113:anchor
CUST-00114,Debra Harrington,opatel@gmail.com,,2,tier1,POS-00243:tier1:conf=1.00:via=ECOM-00114;ECOM-00114:tier1:conf=1.00:via=POS-00243
CUST-00115,David Caldwell,allencarlos@hotmail.com,,1,single_record,ECOM-00115:anchor
CUST-00116,Anne Robinson,griffinemily@gmail.com,,1,single_record,ECOM-00116:anchor
CUST-00117,Holly Wang,joymorales@gmail.com,(876) 699-1257,2,tier1,POS-00247:tier1:conf=1.00:via=ECOM-00117;ECOM-00117:tier1:conf=1.00:via=POS-00247
CUST-00118,Gary Lawson,karenparsons@gmail.com,(213) 217-9673,2,tier1,POS-00248:tier1:conf=1.00:via=ECOM-00118;ECOM-00118:tier1:conf=1.00:via=POS-00248
CUST-00119,Daniel Johnson,joel28@gmail.com,(384) 309-2578,2,tier2,POS-00251:tier2:conf=0.94:via=ECOM-00119;ECOM-00119:tier2:conf=0.94:via=POS-00251
CUST-00120,Susie Sanders,ufloyd@hotmail.com,,2,tier2,POS-00253:tier2:conf=0.94:via=ECOM-00120;ECOM-00120:tier2:conf=0.94:via=POS-00253
CUST-00121,David Riggs,nielsenmelanie@gmail.com,,1,single_record,ECOM-00121:anchor
CUST-00122,Kimberly Reed,,(277) 900-5593,2,tier2,POS-00261:tier2:conf=1.00:via=ECOM-00122;ECOM-00122:tier2:conf=1.00:via=POS-00261
CUST-00123,Melissa Short,burgesskaren@gmail.com,,2,tier1,POS-00265:tier1:conf=1.00:via=ECOM-00123;ECOM-00123:tier1:conf=1.00:via=POS-00265
CUST-00124,Daniel Yu,randyallen@yahoo.com,(894) 753-6435,2,tier2,POS-00266:tier2:conf=1.00:via=ECOM-00124;ECOM-00124:tier2:conf=1.00:via=POS-00266
CUST-00125,Cynthia Poole,ugill@gmail.com,,1,single_record,ECOM-00125:anchor
CUST-00126,Jasmine Graham,lawrence09@gmail.com,(255) 300-8161,2,tier1,POS-00268:tier1:conf=1.00:via=ECOM-00126;ECOM-00126:tier1:conf=1.00:via=POS-00268
CUST-00127,Jessica Sheppard,mphillips@yahoo.com,,3,tier1,POS-00269:tier1:conf=1.00:via=ECOM-00127;POS-00270:tier1:conf=1.00:via=POS-00269;ECOM-00127:tier1:conf=1.00:via=POS-00269
CUST-00128,Amanda Webb,noahwhitaker@yahoo.com,,1,single_record,ECOM-00128:anchor
CUST-00129,Steven Bishop,iwhite@hotmail.com,,1,single_record,ECOM-00129:anchor
CUST-00130,Jason Salinas,duranrobert@hotmail.com,,1,single_record,ECOM-00130:anchor
CUST-00131,Matthew Beard,carloshernandez@gmail.com,(771) 768-9395,2,tier1,POS-00279:tier1:conf=1.00:via=ECOM-00131;ECOM-00131:tier1:conf=1.00:via=POS-00279
CUST-00132,Hannah Brewer,amanda40@hotmail.com,,2,tier1,POS-00284:tier1:conf=1.00:via=ECOM-00132;ECOM-00132:tier1:conf=1.00:via=POS-00284
CUST-00133,Travis Mcguire,ldrake@gmail.com,,2,tier1,POS-00285:tier1:conf=1.00:via=ECOM-00133;ECOM-00133:tier1:conf=1.00:via=POS-00285
CUST-00134,Alyssa Coleman,lisa46@gmail.com,(708) 808-4203,2,tier2,POS-00289:tier2:conf=1.00:via=ECOM-00134;ECOM-00134:tier2:conf=1.00:via=POS-00289
CUST-00135,John Martinez,,(912) 405-8848,2,tier2,POS-00293:tier2:conf=1.00:via=ECOM-00135;ECOM-00135:tier2:conf=1.00:via=POS-00293
CUST-00136,Jacob Robinson,jasonparrish@hotmail.com,(574) 316-4273,3,tier2,POS-00296:tier1:conf=1.00:via=ECOM-00136;POS-00297:tier2:conf=1.00:via=POS-00296;ECOM-00136:tier1:conf=1.00:via=POS-00296
CUST-00137,Todd Hardy,enelson@hotmail.com,,1,single_record,ECOM-00137:anchor
CUST-00138,Tiffany Warren,rachel90@gmail.com,,2,tier1,POS-00298:tier1:conf=1.00:via=ECOM-00138;ECOM-00138:tier1:conf=1.00:via=POS-00298
CUST-00139,Justin Garcia,alexis39@gmail.com,(910) 270-7703,3,tier2,POS-00299:tier1:conf=1.00:via=ECOM-00139;POS-00300:tier2:conf=1.00:via=POS-00299;ECOM-00139:tier1:conf=1.00:via=POS-00299
CUST-00140,Miranda Henry,anthony47@yahoo.com,,1,single_record,ECOM-00140:anchor
CUST-00141,Taylor Alexander,michaelpugh@yahoo.com,,1,single_record,ECOM-00141:anchor
CUST-00142,Lynn Morales,eringuerrero@gmail.com,,1,single_record,ECOM-00142:anchor
CUST-00143,Charles Soto,lauren11@yahoo.com,,1,single_record,ECOM-00143:anchor
CUST-00144,Brian Hernandez,normanbowers@gmail.com,,1,single_record,ECOM-00144:anchor
CUST-00145,Anna Torres,gstewart@gmail.com,,2,tier1,POS-00310:tier1:conf=1.00:via=ECOM-00145;ECOM-00145:tier1:conf=1.00:via=POS-00310
CUST-00146,Victoria Wilson,hahnsean@yahoo.com,,1,single_record,ECOM-00146:anchor
CUST-00147,Kathy Obrien,andersonjacob@yahoo.com,,1,single_record,ECOM-00147:anchor
CUST-00148,Scott Dalton,carterpaul@gmail.com,,1,single_record,ECOM-00148:anchor
CUST-00149,Jared Clark,bryanhamilton@yahoo.com,,1,single_record,ECOM-00149:anchor
CUST-00150,Brittney Carter,stephentaylor@gmail.com,,2,tier1,POS-00320:tier1:conf=1.00:via=ECOM-00150;ECOM-00150:tier1:conf=1.00:via=POS-00320
CUST-00151,Jesse Mann,ncook@yahoo.com,,1,single_record,ECOM-00151:anchor
CUST-00152,Jacqueline Gibson,scott69@gmail.com,,1,single_record,ECOM-00152:anchor
CUST-00153,Grace Bradshaw,malik37@yahoo.com,,1,single_record,ECOM-00153:anchor
CUST-00154,Keith Martinez,samuelcarter@hotmail.com,(812) 597-7431,2,tier1,POS-00329:tier1:conf=1.00:via=ECOM-00154;ECOM-00154:tier1:conf=1.00:via=POS-00329
CUST-00155,Haley Lyons,fuenteslaura@yahoo.com,,1,single_record,ECOM-00155:anchor
CUST-00156,Troy Miller,donna66@gmail.com,,2,tier1,POS-00331:tier1:conf=1.00:via=ECOM-00156;ECOM-00156:tier1:conf=1.00:via=POS-00331
CUST-00157,Marcus Wright,gibbsmichael@hotmail.com,,2,tier2,POS-00335:tier2:conf=1.00:via=ECOM-00157;ECOM-00157:tier2:conf=1.00:via=POS-00335
CUST-00158,Mary Johnston,vrasmussen@yahoo.com,(861) 377-3733,2,tier2,POS-00337:tier2:conf=1.00:via=ECOM-00158;ECOM-00158:tier2:conf=1.00:via=POS-00337
CUST-00159,Stephanie Key,seanmyers@hotmail.com,,1,single_record,ECOM-00159:anchor
CUST-00160,Billy Avila,robert11@hotmail.com,,1,single_record,ECOM-00160:anchor
CUST-00161,Thomas Pearson,michaelcooper@gmail.com,,1,single_record,ECOM-00161:anchor
CUST-00162,Travis Davis,johnsonmatthew@gmail.com,(928) 654-9006,2,tier1,POS-00342:tier1:conf=1.00:via=ECOM-00162;ECOM-00162:tier1:conf=1.00:via=POS-00342
CUST-00163,Mark Steele,zhall@hotmail.com,(373) 999-8492,2,tier1,POS-00345:tier1:conf=1.00:via=ECOM-00163;ECOM-00163:tier1:conf=1.00:via=POS-00345
CUST-00164,Keith Landry,jacobsandoval@yahoo.com,(763) 723-2854,2,tier1,POS-00346:tier1:conf=1.00:via=ECOM-00164;ECOM-00164:tier1:conf=1.00:via=POS-00346
CUST-00165,Lisa Pierce,mclaughlinnicole@yahoo.com,,1,single_record,ECOM-00165:anchor
CUST-00166,Shawn Edwards,tprice@gmail.com,(760) 423-7965,2,tier1,POS-00348:tier1:conf=1.00:via=ECOM-00166;ECOM-00166:tier1:conf=1.00:via=POS-00348
CUST-00167,Marcus Cordova,joshuapadilla@gmail.com,,2,tier1,POS-00349:tier1:conf=1.00:via=ECOM-00167;ECOM-00167:tier1:conf=1.00:via=POS-00349
CUST-00168,Kathleen Harris,michael79@gmail.com,,1,single_record,ECOM-00168:anchor
CUST-00169,Chelsea Allen,nathanielthomas@yahoo.com,,2,tier1,POS-00359:tier1:conf=1.00:via=ECOM-00169;ECOM-00169:tier1:conf=1.00:via=POS-00359
CUST-00170,Eric Pierce,kcarlson@yahoo.com,,1,single_record,ECOM-00170:anchor
CUST-00171,Andrea Davis,olopez@hotmail.com,,2,tier1,POS-00360:tier1:conf=1.00:via=ECOM-00171;ECOM-00171:tier1:conf=1.00:via=POS-00360
CUST-00172,Victoria Durham,angelaburns@gmail.com,(454) 979-7434,2,tier1,POS-00361:tier1:conf=1.00:via=ECOM-00172;ECOM-00172:tier1:conf=1.00:via=POS-00361
CUST-00173,Steven Wilson,leonardhayes@gmail.com,,1,single_record,ECOM-00173:anchor
CUST-00174,Jennifer Hicks,gmaynard@hotmail.com,,1,single_record,ECOM-00174:anchor
CUST-00175,Tina Sanchez,fburns@hotmail.com,,1,single_record,ECOM-00175:anchor
CUST-00176,Andrea Reyes,flynnjeffrey@gmail.com,,1,single_record,ECOM-00176:anchor
CUST-00177,Sandra Romero,jeffrey42@yahoo.com,,1,single_record,ECOM-00177:anchor
CUST-00178,Robert Villa,adamsamy@yahoo.com,,1,single_record,ECOM-00178:anchor
CUST-00179,William Hoover,,(951) 295-8511,2,tier2,POS-00366:tier2:conf=1.00:via=ECOM-00179;ECOM-00179:tier2:conf=1.00:via=POS-00366
CUST-00180,Brenda Duarte,nancy07@yahoo.com,(417) 706-5399,2,tier1,POS-00368:tier1:conf=1.00:via=ECOM-00180;ECOM-00180:tier1:conf=1.00:via=POS-00368
CUST-00181,Tracy Hernandez,michelle17@gmail.com,,2,tier2,POS-00369:tier2:conf=1.00:via=ECOM-00181;ECOM-00181:tier2:conf=1.00:via=POS-00369
CUST-00182,Amanda Reed,jasonrojas@hotmail.com,,1,single_record,ECOM-00182:anchor
CUST-00183,Stanley Morris,kristenli@gmail.com,,2,tier1,POS-00371:tier1:conf=1.00:via=ECOM-00183;ECOM-00183:tier1:conf=1.00:via=POS-00371
CUST-00184,Elizabeth Hoover,rsellers@hotmail.com,(841) 512-4836,3,tier1,POS-00377:tier1:conf=1.00:via=ECOM-00184;POS-00378:tier1:conf=1.00:via=POS-00377;ECOM-00184:tier1:conf=1.00:via=POS-00377
CUST-00185,Benjamin Shaw,maria67@gmail.com,,1,single_record,ECOM-00185:anchor
CUST-00186,Brittany Kane,courtney67@gmail.com,,1,single_record,ECOM-00186:anchor
CUST-00187,Alicia Bryant,shawn75@hotmail.com,,1,single_record,ECOM-00187:anchor
CUST-00188,Jennifer Ortiz,meltonmelanie@gmail.com,,1,single_record,ECOM-00188:anchor
CUST-00189,Terrance Costa,flynnraymond@yahoo.com,,2,tier1,POS-00382:tier1:conf=1.00:via=ECOM-00189;ECOM-00189:tier1:conf=1.00:via=POS-00382
CUST-00190,Debra Christian,patricia00@gmail.com,,2,tier2,POS-00385:tier2:conf=1.00:via=ECOM-00190;ECOM-00190:tier2:conf=1.00:via=POS-00385
CUST-00191,Jennifer Malone,penajohn@yahoo.com,,2,tier1,POS-00388:tier1:conf=1.00:via=ECOM-00191;ECOM-00191:tier1:conf=1.00:via=POS-00388
CUST-00192,Casey Welch,brettgarrett@hotmail.com,(523) 343-5059,2,tier1,POS-00390:tier1:conf=1.00:via=ECOM-00192;ECOM-00192:tier1:conf=1.00:via=POS-00390
CUST-00193,Julie Hamilton,aprilwallace@gmail.com,,1,single_record,ECOM-00193:anchor
CUST-00194,Corey Schultz,lisa62@yahoo.com,(503) 861-1894,2,tier1,POS-00394:tier1:conf=1.00:via=ECOM-00194;ECOM-00194:tier1:conf=1.00:via=POS-00394
CUST-00195,Monique Wallace,perezchristopher@gmail.com,,1,single_record,ECOM-00195:anchor
CUST-00196,Brandon Flynn,caseyelliott@hotmail.com,,1,single_record,ECOM-00196:anchor
CUST-00197,John Durham,bbell@yahoo.com,(285) 855-9791,2,tier1,POS-00403:tier1:conf=1.00:via=ECOM-00197;ECOM-00197:tier1:conf=1.00:via=POS-00403
CUST-00198,Jonathan Scott,johnnewman@gmail.com,,1,single_record,ECOM-00198:anchor
CUST-00199,Rachel Byrd,troyrodriguez@yahoo.com,,2,tier1,POS-00407:tier1:conf=1.00:via=ECOM-00199;ECOM-00199:tier1:conf=1.00:via=POS-00407
