customer_id,canonical_name,canonical_email,canonical_phone,record_count,resolution_tier,linked_source_records,lifetime_spend,total_orders,total_returns,return_rate,first_purchase_date,last_purchase_date,days_since_last_purchase,vip_flag,fraud_watch_flag,relationship_tier
CUST-00017,Bryan James,tberry@hotmail.com,(245) 850-7338,3,tier2,POS-00052:tier1:conf=1.00:via=ECOM-00017;POS-00053:tier2:conf=1.00:via=POS-00052;ECOM-00017:tier1:conf=1.00:via=POS-00052,555.62,3.0,1.0,0.333,2026-02-11,2026-05-23,44,False,False,regular
CUST-00018,Joseph Davidson,zwarren@yahoo.com,,1,single_record,ECOM-00018:anchor,1160.0,4.0,1.0,0.25,2025-12-12,2026-03-06,122,False,False,regular
CUST-00019,Daniel Graham,jeffrey21@hotmail.com,,2,tier1,POS-00058:tier1:conf=1.00:via=ECOM-00019;ECOM-00019:tier1:conf=1.00:via=POS-00058,1182.91,6.0,1.0,0.167,2024-07-15,2026-06-08,28,False,False,regular
CUST-00020,Vincent White,jessica23@gmail.com,(757) 684-5150,2,tier1,POS-00061:tier1:conf=1.00:via=ECOM-00020;ECOM-00020:tier1:conf=1.00:via=POS-00061,1076.92,5.0,1.0,0.2,2025-01-06,2026-03-27,101,False,False,regular
CUST-00021,Chelsea Hernandez,wwebster@hotmail.com,(648) 609-8204,2,tier1,POS-00065:tier1:conf=1.00:via=ECOM-00021;ECOM-00021:tier1:conf=1.00:via=POS-00065,168.0,1.0,0.0,0.0,2024-06-12,2024-06-12,754,False,False,new
CUST-00022,Kimberly Moreno,kmaldonado@hotmail.com,(732) 473-2353,2,tier2,POS-00067:tier2:conf=1.00:via=ECOM-00022;ECOM-00022:tier2:conf=1.00:via=POS-00067,1387.7,6.0,1.0,0.167,2025-02-27,2026-04-28,69,False,False,regular
CUST-00023,Natalie Arroyo,xjohnson@yahoo.com,,2,tier2,POS-00072:tier2:conf=1.00:via=ECOM-00023;ECOM-00023:tier2:conf=1.00:via=POS-00072,866.52,5.0,0.0,0.0,2025-05-29,2026-06-03,33,False,False,regular
CUST-00024,Chad Hodges,marcalvarez@gmail.com,,1,single_record,ECOM-00024:anchor,0.0,0.0,0.0,0.0,,,99999,False,False,new
CUST-00025,Katie Anderson,hayeslisa@yahoo.com,,1,single_record,ECOM-00025:anchor,2336.85,11.0,1.0,0.091,2024-04-30,2026-06-30,6,True,False,VIP
CUST-00026,Joseph Brennan,hritter@hotmail.com,,1,single_record,ECOM-00026:anchor,1394.37,8.0,1.0,0.125,2024-12-06,2026-07-03,3,False,False,regular
CUST-00027,Rodney Lewis,,(861) 575-6933,2,tier2,POS-00076:tier2:conf=1.00:via=ECOM-00027;ECOM-00027:tier2:conf=1.00:via=POS-00076,436.0,2.0,0.0,0.0,2026-01-18,2026-06-18,18,False,False,regular
CUST-00028,Amber Blair,rschroeder@hotmail.com,,2,tier1,POS-00077:tier1:conf=1.00:via=ECOM-00028;ECOM-00028:tier1:conf=1.00:via=POS-00077,2584.7,10.0,3.0,0.3,2025-08-14,2026-07-05,1,True,False,VIP
CUST-00029,James Collins,mccormickdeborah@gmail.com,,1,single_record,ECOM-00029:anchor,1340.32,8.0,3.0,0.375,2024-10-29,2026-06-12,24,False,False,regular
CUST-00030,Wanda Santos,cody64@yahoo.com,,1,single_record,ECOM-00030:anchor,634.53,4.0,2.0,0.5,2026-01-14,2026-07-04,2,False,True,watch
CUST-00031,David Walker,collinsnicholas@yahoo.com,(456) 316-1424,2,tier1,POS-00080:tier1:conf=1.00:via=ECOM-00031;ECOM-00031:tier1:conf=1.00:via=POS-00080,1114.08,5.0,0.0,0.0,2025-11-07,2026-06-10,26,False,False,regular
CUST-00032,Michele Jones,ericphillips@gmail.com,,1,single_record,ECOM-00032:anchor,2381.41,12.0,2.0,0.167,2026-02-02,2026-06-30,6,True,False,VIP
CUST-00033,Jason Anderson,carlamoore@gmail.com,(362) 928-3852,2,tier1,POS-00088:tier1:conf=1.00:via=ECOM-00033;ECOM-00033:tier1:conf=1.00:via=POS-00088,1868.98,8.0,3.0,0.375,2025-01-29,2026-06-24,12,False,False,regular
CUST-00034,Selena Duncan,jenniferwilliams@yahoo.com,,1,single_record,ECOM-00034:anchor,1245.38,7.0,0.0,0.0,2025-01-18,2026-07-05,1,False,False,regular
CUST-00035,Thomas Mueller,tarabishop@hotmail.com,,2,tier1,POS-00089:tier1:conf=1.00:via=ECOM-00035;ECOM-00035:tier1:conf=1.00:via=POS-00089,1055.04,6.0,0.0,0.0,2025-09-15,2026-06-14,22,False,False,regular
CUST-00036,Collin Jordan,mmckee@yahoo.com,,1,single_record,ECOM-00036:anchor,198.0,1.0,0.0,0.0,2025-09-01,2025-09-01,308,False,False,new
CUST-00037,Scott Callahan,brooksanthony@gmail.com,,1,single_record,ECOM-00037:anchor,1567.17,8.0,1.0,0.125,2025-10-29,2026-05-31,36,False,False,regular
CUST-00038,Andrea Williams,ihorton@hotmail.com,,1,single_record,ECOM-00038:anchor,546.43,3.0,0.0,0.0,2026-06-01,2026-06-11,25,False,False,new
CUST-00039,Melinda Martin,srodriguez@gmail.com,,2,tier1,POS-00105:tier1:conf=1.00:via=ECOM-00039;ECOM-00039:tier1:conf=1.00:via=POS-00105,2141.97,11.0,1.0,0.091,2026-06-03,2026-07-05,1,True,False,VIP
CUST-00040,Richard Brown,david36@hotmail.com,,2,tier1,POS-00107:tier1:conf=1.00:via=ECOM-00040;ECOM-00040:tier1:conf=1.00:via=POS-00107,604.0,2.0,2.0,1.0,2026-05-15,2026-06-02,34,False,False,new
CUST-00041,Joseph Bowers,chenbailey@hotmail.com,,3,tier2,POS-00109:tier1:conf=1.00:via=ECOM-00041;POS-00110:tier2:conf=1.00:via=POS-00109;ECOM-00041:tier1:conf=1.00:via=POS-00109,1248.51,7.0,3.0,0.429,2025-10-27,2026-05-10,57,False,False,regular
CUST-00042,Susan Cowan,millsmichael@hotmail.com,(616) 504-8430,2,tier2,POS-00112:tier2:conf=0.94:via=ECOM-00042;ECOM-00042:tier2:conf=0.94:via=POS-00112,1786.66,10.0,1.0,0.1,2026-04-11,2026-06-20,16,True,False,VIP
CUST-00043,Eric Phillips,,(822) 347-6121,2,tier2,POS-00114:tier2:conf=1.00:via=ECOM-00043;ECOM-00043:tier2:conf=1.00:via=POS-00114,2405.39,13.0,2.0,0.154,2025-05-24,2026-06-16,20,True,False,VIP
CUST-00044,Amy Adkins,,(252) 497-7293,2,tier2,POS-00118:tier2:conf=1.00:via=ECOM-00044;ECOM-00044:tier2:conf=1.00:via=POS-00118,781.14,4.0,0.0,0.0,2025-06-28,2026-05-09,58,False,False,regular
CUST-00045,Eric Yu,james30@yahoo.com,,1,single_record,ECOM-00045:anchor,687.5,3.0,0.0,0.0,2024-02-19,2026-01-05,182,False,False,regular
CUST-00046,Christopher Lopez,zachary87@yahoo.com,,1,single_record,ECOM-00046:anchor,2008.51,9.0,0.0,0.0,2025-10-06,2026-06-27,9,True,False,VIP
CUST-00047,Brooke Leonard,mullinsjames@yahoo.com,,1,single_record,ECOM-00047:anchor,1280.26,7.0,1.0,0.143,2025-05-15,2026-04-11,86,False,False,regular
CUST-00048,James Moran,amymorris@gmail.com,,1,single_record,ECOM-00048:anchor,1520.52,8.0,1.0,0.125,2024-06-06,2025-12-02,216,False,False,regular
CUST-00049,Leslie Walton,wwilliams@hotmail.com,,1,single_record,ECOM-00049:anchor,574.0,3.0,1.0,0.333,2026-05-03,2026-06-30,6,False,False,regular
CUST-00050,Charles Ellis,yhill@gmail.com,,2,tier1,POS-00130:tier1:conf=1.00:via=ECOM-00050;ECOM-00050:tier1:conf=1.00:via=POS-00130,900.0,5.0,0.0,0.0,2025-12-16,2026-07-04,2,False,False,regular
CUST-00051,Joseph Mahoney,ejohnson@gmail.com,,2,tier1,POS-00134:tier1:conf=1.00:via=ECOM-00051;ECOM-00051:tier1:conf=1.00:via=POS-00134,1178.0,5.0,1.0,0.2,2024-06-25,2025-08-13,327,False,False,regular
CUST-00052,Nicole Suarez,michael90@hotmail.com,(686) 731-8487,2,tier2,POS-00135:tier2:conf=1.00:via=ECOM-00052;ECOM-00052:tier2:conf=1.00:via=POS-00135,2602.23,9.0,3.0,0.333,2024-06-29,2026-05-31,36,True,False,VIP
CUST-00053,Cheryl Archer,fitzgeraldvictor@yahoo.com,,1,single_record,ECOM-00053:anchor,910.0,5.0,3.0,0.6,2025-10-03,2026-04-10,87,False,True,watch
CUST-00054,Dennis Wilson,rachelwallace@gmail.com,(890) 312-7824,2,tier1,POS-00141:tier1:conf=1.00:via=ECOM-00054;ECOM-00054:tier1:conf=1.00:via=POS-00141,249.35,2.0,0.0,0.0,2025-04-07,2026-04-24,73,False,False,regular
CUST-00055,Daniel Tran,elizabeth18@hotmail.com,(943) 904-1436,2,tier2,POS-00142:tier2:conf=0.94:via=ECOM-00055;ECOM-00055:tier2:conf=0.94:via=POS-00142,1131.6,6.0,0.0,0.0,2024-12-23,2026-07-04,2,False,False,regular
CUST-00056,Joseph Jacobs,davidharris@gmail.com,,1,single_record,ECOM-00056:anchor,138.0,1.0,0.0,0.0,2026-04-01,2026-04-01,96,False,False,new
CUST-00057,Cynthia Baker,tanner82@hotmail.com,,1,single_record,ECOM-00057:anchor,148.0,1.0,0.0,0.0,2025-08-01,2025-08-01,339,False,False,new
CUST-00058,Dana Green,howens@yahoo.com,,1,single_record,ECOM-00058:anchor,672.0,3.0,0.0,0.0,2025-11-21,2026-04-03,94,False,False,regular
CUST-00059,Joyce Arnold,nataliedeleon@hotmail.com,(908) 408-7723,2,tier1,POS-00148:tier1:conf=1.00:via=ECOM-00059;ECOM-00059:tier1:conf=1.00:via=POS-00148,1058.0,6.0,3.0,0.5,2024-11-17,2025-12-09,209,False,True,watch
CUST-00060,Charles Ware,guerraapril@yahoo.com,,1,single_record,ECOM-00060:anchor,336.0,1.0,1.0,1.0,2025-11-10,2025-11-10,238,False,False,new
CUST-00061,Earl Anderson,brittanycarpenter@gmail.com,,1,single_record,ECOM-00061:anchor,1711.43,10.0,0.0,0.0,2024-08-25,2026-07-02,4,True,False,VIP
CUST-00062,Kyle Nolan,,(506) 430-5876,2,tier2,POS-00154:tier2:conf=1.00:via=ECOM-00062;ECOM-00062:tier2:conf=1.00:via=POS-00154,968.31,6.0,1.0,0.167,2025-06-08,2026-04-22,75,False,False,regular
CUST-00063,Laura Valencia,,(922) 700-6194,2,tier2,POS-00155:tier2:conf=1.00:via=ECOM-00063;ECOM-00063:tier2:conf=1.00:via=POS-00155,722.94,3.0,2.0,0.667,2026-05-21,2026-06-03,33,False,False,new
CUST-00064,Rachel Clark,debra96@hotmail.com,,1,single_record,ECOM-00064:anchor,386.0,2.0,0.0,0.0,2025-12-09,2026-03-24,104,False,False,regular
CUST-00065,John Garcia,jimenezcourtney@yahoo.com,(939) 480-5715,2,tier2,POS-00156:tier2:conf=1.00:via=ECOM-00065;ECOM-00065:tier2:conf=1.00:via=POS-00156,119.06,1.0,0.0,0.0,2026-03-16,2026-03-16,112,False,False,new
CUST-00066,Richard Oliver,vmarshall@hotmail.com,,1,single_record,ECOM-00066:anchor,178.0,1.0,0.0,0.0,2026-06-12,2026-06-12,24,False,False,new
CUST-00067,Angel Doyle,,(959) 800-4920,2,tier2,POS-00161:tier2:conf=1.00:via=ECOM-00067;ECOM-00067:tier2:conf=1.00:via=POS-00161,626.64,3.0,0.0,0.0,2025-01-27,2025-04-06,456,False,False,regular
CUST-00068,Martin Galvan,floressteven@yahoo.com,,2,tier1,POS-00162:tier1:conf=1.00:via=ECOM-00068;ECOM-00068:tier1:conf=1.00:via=POS-00162,2530.2,12.0,3.0,0.25,2024-06-04,2026-06-07,29,True,False,VIP
CUST-00069,Leah Shields,gwright@gmail.com,(341) 205-3587,3,tier2,POS-00163:tier1:conf=1.00:via=POS-00164;POS-00164:tier1:conf=1.00:via=POS-00163;ECOM-00069:tier2:conf=1.00:via=POS-00164,3520.57,18.0,2.0,0.111,2024-11-15,2026-06-18,18,True,False,VIP
CUST-00070,Lisa Adams,lisapeck@hotmail.com,,2,tier1,POS-00165:tier1:conf=1.00:via=ECOM-00070;ECOM-00070:tier1:conf=1.00:via=POS-00165,2274.28,11.0,3.0,0.273,2025-05-31,2026-06-07,29,True,False,VIP
CUST-00071,Jeffrey Velasquez,tjimenez@yahoo.com,,2,tier1,POS-00168:tier1:conf=1.00:via=ECOM-00071;ECOM-00071:tier1:conf=1.00:via=POS-00168,138.0,1.0,0.0,0.0,2026-06-10,2026-06-10,26,False,False,new
CUST-00072,Steven Torres,jasongomez@gmail.com,(607) 707-4052,2,tier2,POS-00170:tier2:conf=1.00:via=ECOM-00072;ECOM-00072:tier2:conf=1.00:via=POS-00170,1665.28,7.0,1.0,0.143,2025-09-14,2026-05-02,65,False,False,regular
CUST-00073,Mark Lin,booneryan@yahoo.com,,1,single_record,ECOM-00073:anchor,823.48,4.0,0.0,0.0,2025-09-04,2026-05-20,47,False,False,regular
CUST-00074,Sheila Wilson,hudsonjames@hotmail.com,,1,single_record,ECOM-00074:anchor,0.0,0.0,0.0,0.0,,,99999,False,False,new
CUST-00075,Sydney Baker,theresalong@yahoo.com,,2,tier1,POS-00179:tier1:conf=1.00:via=ECOM-00075;ECOM-00075:tier1:conf=1.00:via=POS-00179,1713.16,9.0,0.0,0.0,2024-07-13,2026-06-11,25,False,False,regular
CUST-00076,Daniel Hamilton,kari39@hotmail.com,,1,single_record,ECOM-00076:anchor,1238.42,8.0,0.0,0.0,2025-06-03,2026-04-27,70,False,False,regular
CUST-00077,Jonathan Fletcher,sarah52@yahoo.com,,1,single_record,ECOM-00077:anchor,1607.14,9.0,0.0,0.0,2025-01-26,2026-05-30,37,False,False,regular
CUST-00078,Aaron Frost,brittney88@hotmail.com,,1,single_record,ECOM-00078:anchor,1010.0,5.0,2.0,0.4,2026-02-08,2026-07-01,5,False,False,regular
CUST-00079,Michael Jones,richardsonemily@yahoo.com,,1,single_record,ECOM-00079:anchor,1053.29,5.0,1.0,0.2,2026-01-15,2026-06-25,11,False,False,regular
CUST-00080,Jennifer Evans,tammy99@gmail.com,,2,tier1,POS-00187:tier1:conf=1.00:via=ECOM-00080;ECOM-00080:tier1:conf=1.00:via=POS-00187,178.0,1.0,0.0,0.0,2025-11-03,2025-11-03,245,False,False,new
CUST-00081,Kyle Ortiz,rhernandez@gmail.com,,1,single_record,ECOM-00081:anchor,0.0,0.0,0.0,0.0,,,99999,False,False,new
CUST-00082,Richard Phillips,armstrongjackie@gmail.com,(976) 750-4578,2,tier1,POS-00189:tier1:conf=1.00:via=ECOM-00082;ECOM-00082:tier1:conf=1.00:via=POS-00189,524.0,2.0,0.0,0.0,2025-04-09,2025-10-16,263,False,False,regular
CUST-00083,David Fisher,alexanderrobert@yahoo.com,,1,single_record,ECOM-00083:anchor,544.0,3.0,0.0,0.0,2025-02-24,2025-04-04,458,False,False,regular
CUST-00084,Diana Marshall,sue78@yahoo.com,,1,single_record,ECOM-00084:anchor,971.31,5.0,1.0,0.2,2025-08-26,2026-06-07,29,False,False,regular
CUST-00085,Laura Jackson,hannahburns@yahoo.com,(606) 460-1049,2,tier2,POS-00198:tier2:conf=1.00:via=ECOM-00085;ECOM-00085:tier2:conf=1.00:via=POS-00198,992.84,4.0,0.0,0.0,2025-10-12,2026-06-20,16,False,False,regular
CUST-00086,Christopher Robertson,zhuang@yahoo.com,,1,single_record,ECOM-00086:anchor,228.0,1.0,0.0,0.0,2026-01-03,2026-01-03,184,False,False,new
CUST-00087,Loretta Potter,kellyroberts@hotmail.com,,1,single_record,ECOM-00087:anchor,415.1,3.0,0.0,0.0,2025-09-15,2026-05-12,55,False,False,regular
CUST-00088,Robert Soto,xgarcia@gmail.com,(506) 674-9920,3,tier2,POS-00206:tier1:conf=1.00:via=ECOM-00088;POS-00207:tier2:conf=1.00:via=POS-00206;ECOM-00088:tier1:conf=1.00:via=POS-00206,689.77,3.0,0.0,0.0,2025-09-18,2026-05-22,45,False,False,regular
CUST-00089,James Horton,oconnelltiffany@gmail.com,(436) 453-8546,2,tier1,POS-00208:tier1:conf=1.00:via=ECOM-00089;ECOM-00089:tier1:conf=1.00:via=POS-00208,1051.4,5.0,1.0,0.2,2025-09-07,2026-05-22,45,False,False,regular
CUST-00090,Troy Sanchez,edelgado@yahoo.com,,1,single_record,ECOM-00090:anchor,2116.58,11.0,2.0,0.182,2024-06-15,2025-09-27,282,True,False,VIP
CUST-00091,Diana Smith,,(943) 983-2848,2,tier2,POS-00209:tier2:conf=1.00:via=ECOM-00091;ECOM-00091:tier2:conf=1.00:via=POS-00209,1571.74,7.0,2.0,0.286,2024-12-05,2026-04-27,70,False,False,regular
CUST-00092,Karen Carrillo,velezchristopher@hotmail.com,,1,single_record,ECOM-00092:anchor,685.81,4.0,2.0,0.5,2026-04-29,2026-05-29,38,False,True,watch
CUST-00093,Daniel Coleman,amandasharp@gmail.com,(830) 984-1256,2,tier1,POS-00210:tier1:conf=1.00:via=ECOM-00093;ECOM-00093:tier1:conf=1.00:via=POS-00210,168.0,1.0,0.0,0.0,2026-04-01,2026-04-01,96,False,False,new
CUST-00094,April Williams,robertmonroe@gmail.com,,1,single_record,ECOM-00094:anchor,981.18,6.0,2.0,0.333,2026-03-06,2026-06-08,28,False,False,regular
CUST-00095,John Charles,lfrench@hotmail.com,,1,single_record,ECOM-00095:anchor,738.34,4.0,1.0,0.25,2025-11-29,2026-03-14,114,False,False,regular
CUST-00096,Caitlin Dodson,ismall@hotmail.com,,1,single_record,ECOM-00096:anchor,178.0,1.0,0.0,0.0,2026-04-26,2026-04-26,71,False,False,new
CUST-00097,Jennifer Wagner,,(950) 789-6224,3,tier2,POS-00215:tier2:conf=0.94:via=POS-00216;POS-00216:tier2:conf=1.00:via=ECOM-00097;ECOM-00097:tier2:conf=1.00:via=POS-00216,1525.56,7.0,1.0,0.143,2025-09-08,2026-06-25,11,False,False,regular
CUST-00098,Phyllis Manning,gregorychase@yahoo.com,,1,single_record,ECOM-00098:anchor,1564.0,8.0,0.0,0.0,2025-10-28,2026-06-14,22,False,False,regular
CUST-00099,John Walsh,lopezdonald@yahoo.com,(249) 552-7244,2,tier1,POS-00219:tier1:conf=1.00:via=ECOM-00099;ECOM-00099:tier1:conf=1.00:via=POS-00219,2038.52,10.0,0.0,0.0,2025-11-16,2026-06-29,7,True,False,VIP
CUST-00100,Courtney Hill,adamreyes@yahoo.com,,1,single_record,ECOM-00100:anchor,1387.64,8.0,0.0,0.0,2025-08-11,2026-06-21,15,False,False,regular
CUST-00101,Chris Mitchell,stephanie49@hotmail.com,,1,single_record,ECOM-00101:anchor,1777.12,10.0,2.0,0.2,2025-05-28,2026-06-26,10,True,False,VIP
CUST-00102,Joseph Flores,greenmichael@gmail.com,,1,single_record,ECOM-00102:anchor,3572.0,15.0,5.0,0.333,2024-07-19,2026-06-26,10,True,False,VIP
CUST-00103,Jesse Benson,tparks@yahoo.com,,1,single_record,ECOM-00103:anchor,1299.69,7.0,0.0,0.0,2024-12-10,2026-07-01,5,False,False,regular
CUST-00104,Rick Daniels,fowlershelia@yahoo.com,(627) 770-9683,2,tier1,POS-00223:tier1:conf=1.00:via=ECOM-00104;ECOM-00104:tier1:conf=1.00:via=POS-00223,820.72,5.0,0.0,0.0,2024-10-28,2025-12-26,192,False,False,regular
CUST-00105,Robert Stein,jeffreyanderson@gmail.com,,1,single_record,ECOM-00105:anchor,1976.21,10.0,3.0,0.3,2025-05-28,2026-05-14,53,True,False,VIP
CUST-00106,Omar Smith,kathleenbecker@hotmail.com,,1,single_record,ECOM-00106:anchor,353.72,1.0,0.0,0.0,2025-05-16,2025-05-16,416,False,False,new
CUST-00107,Matthew Shelton,hansenemily@yahoo.com,,1,single_record,ECOM-00107:anchor,1000.63,4.0,0.0,0.0,2024-11-28,2026-04-21,76,False,False,regular
CUST-00108,Phillip Elliott,weaverbrian@gmail.com,,1,single_record,ECOM-00108:anchor,1068.0,5.0,2.0,0.4,2024-10-09,2026-05-06,61,False,False,regular
CUST-00109,Anthony Day,ajohnson@gmail.com,,1,single_record,ECOM-00109:anchor,1006.07,5.0,2.0,0.4,2025-02-04,2026-05-09,58,False,False,regular
CUST-00110,Derek Murray,katiegood@hotmail.com,,1,single_record,ECOM-00110:anchor,1685.11,8.0,0.0,0.0,2025-08-26,2026-06-11,25,False,False,regular
CUST-00111,Brent Gray,ybrooks@yahoo.com,,1,single_record,ECOM-00111:anchor,476.16,3.0,1.0,0.333,2026-01-01,2026-06-16,20,False,False,regular
CUST-00112,Kathleen Gray,desireebailey@gmail.com,,1,single_record,ECOM-00112:anchor,1038.0,5.0,1.0,0.2,2026-06-09,2026-07-04,2,False,False,new
CUST-00113,Karen Decker,urice@gmail.com,,1,single_record,ECOM-00113:anchor,2543.24,11.0,2.0,0.182,2025-11-10,2026-06-15,21,True,False,VIP
CUST-00114,Debra Harrington,opatel@gmail.com,,2,tier1,POS-00243:tier1:conf=1.00:via=ECOM-00114;ECOM-00114:tier1:conf=1.00:via=POS-00243,980.0,5.0,0.0,0.0,2024-10-10,2026-06-11,25,False,False,regular
CUST-00115,David Caldwell,allencarlos@hotmail.com,,1,single_record,ECOM-00115:anchor,2173.88,11.0,2.0,0.182,2025-04-22,2026-06-13,23,True,False,VIP
CUST-00116,Anne Robinson,griffinemily@gmail.com,,1,single_record,ECOM-00116:anchor,168.0,1.0,0.0,0.0,2026-06-29,2026-06-29,7,False,False,new
CUST-00117,Holly Wang,joymorales@gmail.com,(876) 699-1257,2,tier1,POS-00247:tier1:conf=1.00:via=ECOM-00117;ECOM-00117:tier1:conf=1.00:via=POS-00247,772.0,4.0,0.0,0.0,2025-02-13,2026-05-30,37,False,False,regular
CUST-00118,Gary Lawson,karenparsons@gmail.com,(213) 217-9673,2,tier1,POS-00248:tier1:conf=1.00:via=ECOM-00118;ECOM-00118:tier1:conf=1.00:via=POS-00248,2276.84,11.0,3.0,0.273,2025-10-29,2026-06-21,15,True,False,VIP
CUST-00119,Daniel Johnson,joel28@gmail.com,(384) 309-2578,2,tier2,POS-00251:tier2:conf=0.94:via=ECOM-00119;ECOM-00119:tier2:conf=0.94:via=POS-00251,2161.4,9.0,1.0,0.111,2026-02-10,2026-06-29,7,True,False,VIP
CUST-00120,Susie Sanders,ufloyd@hotmail.com,,2,tier2,POS-00253:tier2:conf=0.94:via=ECOM-00120;ECOM-00120:tier2:conf=0.94:via=POS-00253,1249.02,7.0,0.0,0.0,2026-01-29,2026-06-29,7,False,False,regular
CUST-00121,David Riggs,nielsenmelanie@gmail.com,,1,single_record,ECOM-00121:anchor,940.0,4.0,2.0,0.5,2026-02-11,2026-05-07,60,False,True,watch
CUST-00122,Kimberly Reed,,(277) 900-5593,2,tier2,POS-00261:tier2:conf=1.00:via=ECOM-00122;ECOM-00122:tier2:conf=1.00:via=POS-00261,524.0,3.0,0.0,0.0,2026-01-08,2026-05-29,38,False,False,regular
CUST-00123,Melissa Short,burgesskaren@gmail.com,,2,tier1,POS-00265:tier1:conf=1.00:via=ECOM-00123;ECOM-00123:tier1:conf=1.00:via=POS-00265,2434.04,12.0,1.0,0.083,2025-02-09,2026-06-29,7,True,False,VIP
CUST-00124,Daniel Yu,randyallen@yahoo.com,(894) 753-6435,2,tier2,POS-00266:tier2:conf=1.00:via=ECOM-00124;ECOM-00124:tier2:conf=1.00:via=POS-00266,584.0,3.0,1.0,0.333,2026-02-14,2026-06-08,28,False,False,regular
CUST-00125,Cynthia Poole,ugill@gmail.com,,1,single_record,ECOM-00125:anchor,724.83,4.0,1.0,0.25,2025-11-27,2026-02-03,153,False,False,regular
CUST-00126,Jasmine Graham,lawrence09@gmail.com,(255) 300-8161,2,tier1,POS-00268:tier1:conf=1.00:via=ECOM-00126;ECOM-00126:tier1:conf=1.00:via=POS-00268,1664.72,9.0,2.0,0.222,2026-04-09,2026-07-05,1,False,False,regular
